ID,prefecture,latitude,longitude,power
359,01,42.858335,141.610665,2.7648
360,01,42.859226,141.612793,0.825
361,01,42.818533,141.718827,1.51
362,01,42.804574,141.706554,3.0582
363,01,42.808783,141.737799,1.1934
374,01,43.166171,141.258964,1.9584
375,01,43.167871,141.265665,1.4508
376,01,43.215182,141.338110,1.4208
377,01,43.261098,141.390039,2.4805
391,01,43.985309,143.722995,1.264725
392,01,44.008623,143.768430,1.421
393,01,44.015987,143.729992,1.8044
395,01,43.701823,143.719171,1.5087
400,01,43.853138,142.306445,3.36
401,01,42.919297,142.896049,1.3392
420,01,41.669672,140.432074,1.2698
426,01,43.175353,141.270669,1.12
428,01,42.817597,143.661411,0.9504
429,01,42.784878,143.606829,1.9521
430,01,42.780654,143.595800,2.118
431,01,42.825074,143.662006,1.13355
436,01,43.862636,144.466686,0.801
437,01,43.868182,144.481615,9.1414
438,01,43.900141,144.669209,1.2585
439,01,43.901455,144.649636,1.4088
440,01,43.902051,144.651436,1.3316
442,01,43.905364,144.677219,1.4088
443,01,42.372003,141.018902,1.246
447,01,42.325133,141.012211,2.0202
450,01,42.389673,141.009580,1.4628
453,01,42.371417,140.924774,1.9277
461,01,43.238821,141.811563,3.0245
464,01,43.152905,141.409378,1.002
465,01,43.158191,141.373100,0.9028
466,01,43.098322,141.463650,0.9501
471,01,42.952105,141.360431,1.7701
472,01,42.920813,141.330176,1.092
484,01,42.509808,142.106760,10.2044
485,01,43.362990,145.651238,1.008
486,01,43.362312,145.651395,1.00842
489,01,43.297077,145.566791,2.6132
492,01,43.284354,145.592023,1.008
495,01,43.091351,141.547515,2.0007
497,01,43.115678,141.607684,0.85344
498,01,43.118797,141.512555,0.8786
499,01,43.125665,141.500858,1.5675
501,01,43.131722,141.500017,1.43
502,01,43.112876,141.459289,1.9994
504,01,42.501338,143.271131,3.841
505,01,42.494994,143.288263,1.742
507,01,42.512162,143.274043,0.8486
509,01,43.145278,145.073444,0.8144
511,01,43.071732,144.810708,0.8096
512,01,43.067563,144.818729,2
513,01,43.259562,140.632365,1.19808
517,01,42.862125,141.572206,1.8252
